#	h	b	tw	tf	r	u	A	P	Iy	Wy	Wpl,y	iy	Iz	Wz	Wpl,z	iz
#	mm	mm	mm	mm	mm	mm	cm2	kg/m	cm4	cm3	cm3	cm	cm4	cm3	cm3	cm
UPN-140	140	60	7	10	5	489	20.4	16	605	86.4	102.8	5.45	62.7	14.8	28.3	1.75
UPN-160	160	65	7.5	10.5	5.5	546	24	18.8	925	116	137.6	6.21	85.3	18.3	35.2	1.89
UPN-180	180	70	8	11	5.5	611	28	22	1350	150	179.2	6.95	114	22.4	42.9	2.02
UPN-200	200	75	8.5	11.5	6	661	32.2	25.3	1910	191	228	7.7	148	27	51.8	2.14
UPN-220	220	80	9	12.5	6.5	718	37.4	29.4	2690	245	292	8.48	197	33.6	64.1	2.3
UPN-240	240	85	9.5	13	6.5	775	42.3	33.2	3600	300	358	9.22	248	39.6	75.7	2.42
UPN-260	260	90	10	14	7	834	48.3	37.9	4820	371	442	9.99	317	47.7	91.6	2.56
UPN-280	280	95	10	15	7.5	890	53.3	41.8	6280	448	532	10.9	399	57.2	109	2.74
UPN-300	300	100	10	16	8	950	58.8	46.2	8030	535	632	11.7	495	67.8	130	2.9
UPN-320	320	100	14	17.5	8.75	982	75.8	59.5	10870	679	826	12.1	597	80.6	152	2.81
UPN-350	350	100	14	16	8	1050	77.3	60.6	12840	734	918	12.9	570	75	143	2.72
UPN-380	380	102	13.5	16	8	1110	80.4	63.1	15760	829	1014	14	615	78.7	148	2.77
UPN-400	400	110	14	18	9	1180	91.5	71.8	20350	1020	1236	14.9	846	102	190	3.04
